2WN,2CNTZ,2CNTR,7WN,7CNTZ,7CNTR
3002.66,125.0,396.0,3006.77,1.0,219.0
3003.49,3.0,254.0,3011.87,350.0,39.0
3008.8,341.0,12.0,3013.13,339.0,119.0
3011.58,7.0,214.0,3013.81,89.0,178.0
3012.92,77.0,48.0,3022.95,309.0,187.0
3016.38,340.0,147.0,3026.47,384.0,357.0
3028.62,1.0,313.0,3028.83,171.0,13.0
3032.93,394.0,3.0,3038.94,70.0,163.0
3034.12,74.0,22.0,3054.63,204.0,13.0
3037.86,387.0,34.0,3058.3,398.0,394.0
3042.93,388.0,11.0,3059.43,397.0,399.0
3060.58,400.0,7.0,3065.42,400.0,398.0
3064.59,399.0,40.0,3078.59,401.0,373.0
3066.05,402.0,55.0,3082.94,388.0,402.0
3086.1,382.0,70.0,3099.92,390.0,392.0
